city,trip
Alcala de Henares,[]
Alcalá de los Gazules,['Seville']
Alcobaça,"['Evora', 'Lisbon']"
Alcoi,[]
Aldeanueva del Camino,[]
Aldehuela,[]
Aleksa Šantić,[]
Aleksinac,[]
Aleșd,[]
Alessandria,"['Courmayeur', 'Geneva', 'Genoa', 'Milan Malpensa Airport', 'Rome']"
"Alexander City, AL","['Alexandria, LA', 'Atlanta, GA', 'Chicago, IL', 'Columbus, OH', 'Detroit, MI', 'Houston, TX', 'Memphis, TN', 'Midland, TX', 'Nashville, TN', 'New Orleans, LA', 'New York, NY', 'Newark, NJ', 'Orlando, FL', 'Valdosta, GA']"
Alexandria (Romania),[]
"Alexandria, LA","['Abilene, TX', 'Akron, OH', 'Albany, GA', 'Alexander City, AL', 'Atlanta, GA', 'Austin, TX', 'Baltimore, MD', 'Baton Rouge, LA', 'Baytown, TX', 'Beaumont, TX', 'Beckley, WV', 'Biloxi, MS', 'Birmingham, AL', 'Boston, MA', 'Brownsville, TX', 'Buffalo, NY', 'Chicago, IL', 'Cincinnati, OH', 'Clarksville, TN', 'Cleveland, OH', 'Colorado Springs, CO', 'Columbia, SC', 'Columbus, GA', 'Columbus, OH', 'Corpus Christi, TX', 'Dallas, TX', 'Denver, CO', 'Detroit, MI', 'Dothan, AL', 'El Paso, TX', 'Evansville, IN', 'Fort Worth, TX', 'Gainesville, FL', 'Greenville, SC', 'Harrisburg, PA', 'Houston, TX', 'Indianapolis, IN', 'Jackson, MI', 'Jacksonville, FL', 'Jonesboro, AR', 'Kansas City, MO', 'Katy, TX', 'Key West, FL', 'Lafayette, LA', 'Lake Charles, LA', 'Las Vegas, NV', 'Livingston, TX', 'Los Angeles, CA', 'Louisville, KY', 'Macon, GA', 'Manchester, NH', 'Memphis, TN', 'Miami, FL', 'Mobile, AL', 'Monroe, LA', 'Montgomery, AL', 'Nashville, TN', 'New Orleans, LA', 'New York, NY', 'Newark, NJ', 'Norfolk-Virginia Beach, VA', 'Oklahoma City, OK', 'Omaha, NE', 'Orlando, FL', 'Panama City, FL', 'Pecos, TX', 'Philadelphia, PA', 'Phoenix-Tempe, AZ', 'Pittsburgh, PA', 'Plano, TX', 'Port Arthur, TX', 'Portland, ME', 'Portland, OR', 'Raleigh, NC', 'Richmond, VA', 'Ruston, LA', 'Sacramento, CA', 'San Antonio, TX', 'San Bernardino, CA', 'Savannah, GA', 'Seattle, WA', 'Shreveport, LA', 'Springfield, MO', 'Syracuse, NY', 'Texarkana, TX', 'Tulsa, OK', 'Van Buren, AR', 'Waco, TX', 'Washington, D.C.', 'Waterloo, IA']"
"Alexandria, MN","['Bangor, ME', 'Chicago, IL', 'Duluth, MN', 'Eagle Pass, TX', 'Fort Lauderdale, FL', 'Houston, TX', 'Minneapolis, MN', 'New York, NY', 'Richmond, VA', 'Sacramento, CA', 'Saint Paul, MN']"
"Alexânia, GO",[]
Alfajarín,[]
Alfta,[]
Ålgård E39,[]
